Latitude,Longitude,Address,Weekly Temperature
11.973281921197112,76.58258678520424,"Shrikanthapura, Gundlupet taluk, Chamarajanagar, Karnataka, India",22.8
14.392204779495476,77.65822236828896,"Regatipalle, Dharmavaram, Sri Sathya Sai, Andhra Pradesh, 515671, India",30.0
11.870700567020997,78.53107851859944,"Pappireddipatti, Dharmapuri, Tamil Nadu, India",23.3
13.156420448845099,76.13000048312558,"Nitturu, Hasana taluk, Hassan, Karnataka, India",22.9
13.806246245348941,78.81851037914755,"MDR, Pendagivandlapalle, Kottakurvapalle, Kambhamvaripalle, Annamayya, Andhra Pradesh, India",28.7
11.533391755181407,77.27133898239482,"Sathyamangalam, Erode, Tamil Nadu, 638401, India",25.0
14.256680570856028,76.83332313807917,"Vishvanathapura, Challakere taluku, Chitradurga, Karnataka, India",27.6
12.517232717211408,79.04837227234643,"Polur, Tiruvannamalai, Tamil Nadu, 606803, India",25.2
12.329832188258118,76.20282870648452,"NH275, Attikuppe, Hunasuru taluk, Mysuru, Karnataka, 571248, India",22.5
14.376921830522315,78.19195254455398,"Kottapalle, Pulivendla, YSR, Andhra Pradesh, India",33.1
11.529517607278404,78.12661788333675,"Komarapalayam, Rasipuram, Namakkal, Tamil Nadu, 636203, India",26.0
13.681575764794026,76.19232953840545,"Chaulahiriyuru, Ajjampura taluku, Chikkamagaluru, Karnataka, India",25.7
13.370199900075017,79.13135886027702,"Nadimpalle, Puthalapattu, Chittoor, Andhra Pradesh, India",28.7
11.646440172195971,76.7390870519189,"Chikka Elachatti, Gundlupet taluk, Chamarajanagar, Karnataka, 571111, India",21.5
14.52852421552677,77.31280738883966,"Thimmasamudram, Kalyandurg, Anantapur, Andhra Pradesh, 515787, India",29.2
11.998839593205874,78.87822484495084,"Sankarapuram, Kallakurichi, Tamil Nadu, 606402, India",29.7
12.826696177588774,75.96592670162443,"Purabhairavanhalli Road, Hanumanahalli, Aluru taluk, Hassan, Karnataka, India",21.5
14.160302125414125,78.71308908336565,"Rayachoti - Vempalle Road, Kommaripalle, Middekapalle, Lakkireddipalle, Annamayya, Andhra Pradesh, India",31.1
